,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
326,Poya,NC,-21.35,165.15,88.0,61,57,6.53,broken clouds
327,Hagere Hiywet,ET,8.9833,37.85,53.58,55,20,5.79,few clouds
328,Mahon,ES,39.8885,4.2658,45.16,93,0,5.75,clear sky
329,Ostrovnoy,RU,68.0531,39.5131,19.09,89,100,10.49,overcast clouds
330,Waingapu,ID,-9.6567,120.2641,80.71,81,100,8.81,overcast clouds
331,San Policarpo,PH,12.1791,125.5072,80.92,82,98,8.1,overcast clouds
332,Meulaboh,ID,4.1363,96.1285,75.45,91,79,3.89,broken clouds
333,Cidreira,BR,-30.1811,-50.2056,72.0,64,80,13.4,broken clouds
334,Paka,MY,4.6374,103.4368,69.73,100,20,1.14,few clouds
335,Mayumba,GA,-3.432,10.6554,75.96,89,56,2.89,broken clouds
336,Calnic,RO,45.8833,23.6667,27.79,89,78,6.89,broken clouds
337,Padang,ID,-0.9492,100.3543,77.05,86,100,4.05,overcast clouds
338,Goundam,ML,16.4145,-3.6708,69.1,12,1,9.26,clear sky
339,Esperance,AU,-33.8667,121.9,66.04,63,46,10.56,scattered clouds
340,Flinders,AU,-34.5833,150.8552,85.05,66,11,8.99,few clouds
341,Yar-Sale,RU,66.8333,70.8333,1.54,97,100,6.8,overcast clouds
342,Itoman,JP,26.1247,127.6694,64.42,92,20,5.75,few clouds
343,Villefranche-De-Rouergue,FR,44.3333,2.0,33.04,92,22,0.89,few clouds
