City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
176,Mana,GF,76.01,broken clouds,5.6592,-53.7767,LE SAMANA
179,Port Macquarie,AU,80.89,scattered clouds,-31.4333,152.9167,Rydges Port Macquarie
180,Victoria Point,AU,82.26,scattered clouds,-27.5833,153.3,Bay Retreat Motel
182,Geraldton,AU,78.13,clear sky,-28.7667,114.6,Broadwater Mariner Resort
183,Yaring,TH,75.0,broken clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
185,Amahai,ID,81.28,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
207,Nelson Bay,AU,82.0,clear sky,-32.7167,152.15,Mantra Nelson Bay
215,Coruripe,BR,78.85,scattered clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
216,Bathsheba,BB,75.81,few clouds,13.2167,-59.5167,Atlantis Hotel
220,Moroni,KM,77.32,broken clouds,-11.7022,43.2551,Hotel les Arcades
223,Comodoro Rivadavia,AR,75.06,few clouds,-45.8667,-67.5,Austral Hotel
224,Kavieng,PG,84.61,light rain,-2.5744,150.7967,Nusa Island Retreat
227,Cairns,AU,84.11,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
233,Cockburn Town,TC,78.24,clear sky,21.4612,-71.1419,Osprey Beach Hotel
238,Ugoofaaru,MV,79.27,scattered clouds,5.6667,73.0,Ungoofaaru Inn
241,Palu,ID,75.47,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
244,Yulara,AU,78.64,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
245,Banda Aceh,ID,77.56,broken clouds,5.5577,95.3222,Sulthan Hotel International
250,Jardim,BR,75.72,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
251,Sao Joao Da Barra,BR,76.28,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
252,Lazaro Cardenas,MX,80.53,broken clouds,17.9583,-102.2,Baymont by Wyndham Lazaro Cardenas
254,Mesetas,CO,79.16,overcast clouds,3.3846,-74.0442,Hotel Doña Betty
262,Yeppoon,AU,80.38,overcast clouds,-23.1333,150.7333,Villa Mar Colina
267,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
268,Champerico,GT,88.34,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
270,Roebourne,AU,81.61,few clouds,-20.7833,117.1333,Latitude20 Roebourne Village
