City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
256,Labuhan,ID,2022-01-25 22:46:02,-6.8844,112.2051,78.94,87,100,11.36
257,Krasnoarmeysk,RU,2022-01-25 22:46:03,51.0239,45.6969,8.08,97,93,4.27
258,Mayor Pablo Lagerenza,PY,2022-01-25 22:46:03,-19.9309,-60.7718,93.4,33,92,7.61
259,Fortuna,US,2022-01-25 22:46:04,40.5982,-124.1573,61.41,81,0,3.74
260,Tortoli,IT,2022-01-25 22:46:04,39.9256,9.6572,42.62,93,0,5.75
261,Hobyo,SO,2022-01-25 22:46:05,5.3505,48.5268,75.56,63,11,19.57
262,Fairbanks,US,2022-01-25 22:42:20,64.8378,-147.7164,21.16,75,100,1.01
263,Khandbari,NP,2022-01-25 22:46:05,27.3747,87.2039,48.07,80,91,3.83
264,Chifeng,CN,2022-01-25 22:46:06,42.2683,118.9636,10.27,54,3,6.31
265,Berdigestyakh,RU,2022-01-25 22:46:06,62.0989,126.6992,-16.46,98,100,5.59
266,Ilulissat,GL,2022-01-25 22:46:07,69.2167,-51.1,14.02,57,75,27.63
267,Hanford,US,2022-01-25 22:46:07,36.3275,-119.6457,63.27,55,0,3.44
268,Olinda,BR,2022-01-25 22:46:08,-8.0089,-34.8553,83.93,65,40,8.05
269,Hualmay,PE,2022-01-25 22:46:08,-11.0964,-77.6139,73.24,78,61,9.75
270,Umuarama,BR,2022-01-25 22:46:09,-23.7664,-53.325,77.0,75,85,10.18
271,Tiksi,RU,2022-01-25 22:46:09,71.6872,128.8694,-7.6,95,100,10.4
272,Dukat,RU,2022-01-25 22:46:10,62.55,155.55,-28.86,99,99,2.01
273,Olafsvik,IS,2022-01-25 22:46:10,64.8945,-23.7142,32.13,69,99,9.44
274,Celestun,MX,2022-01-25 22:44:31,20.8667,-90.4,76.1,82,25,10.65
275,Brest,BY,2022-01-25 22:46:11,52.1,23.7,33.58,95,100,9.71
276,Tukums,LV,2022-01-25 22:47:11,56.9669,23.1553,24.15,96,68,3.76
277,Sioux Lookout,CA,2022-01-25 22:47:12,50.1001,-91.917,-9.02,70,20,6.91
278,Kuhdasht,IR,2022-01-25 22:47:12,33.535,47.6061,33.31,77,0,5.75
279,Russell,US,2022-01-25 22:47:12,32.3502,-85.1999,61.75,39,100,5.75
280,Isla Mujeres,MX,2022-01-25 22:47:13,21.2311,-86.731,82.45,76,8,12.53
281,Coquimbo,CL,2022-01-25 22:47:14,-29.9533,-71.3436,64.13,77,20,11.5
282,Bilma,NE,2022-01-25 22:47:14,18.6853,12.9164,58.3,22,0,16.91
283,North Bend,US,2022-01-25 22:47:15,43.4065,-124.2243,64.31,65,0,10.36
284,Romny,UA,2022-01-25 22:47:15,50.751,33.4747,14.18,94,97,5.61
285,Ajdabiya,LY,2022-01-25 22:47:16,30.7554,20.2263,42.66,78,81,15.08
286,Yuncheng,CN,2022-01-25 22:47:16,35.0231,110.9928,34.84,82,93,5.06
287,Carahue,CL,2022-01-25 22:46:38,-38.7,-73.1667,73.6,65,0,6.89
288,Yurty,RU,2022-01-25 22:47:17,56.0498,97.6348,6.28,98,100,1.88
289,Puerto Del Rosario,ES,2022-01-25 22:47:17,28.5004,-13.8627,64.15,63,40,11.5
290,Bubaque,GW,2022-01-25 22:47:18,11.2833,-15.8333,79.47,64,100,9.33
291,Kirishi,RU,2022-01-25 22:47:18,59.4471,32.0205,3.15,100,68,3.24
292,Laranjeiras Do Sul,BR,2022-01-25 22:45:38,-25.4078,-52.4161,67.48,95,88,2.8
